file,precision,recall,type_acc,value_precision,value_recall
0.json,0.75,1.0,1.0,1.0,1.0
1.json,0.875,1.0,0.7142857142857143,1.0,0.9642857142857143
10.json,0.2,0.5,1.0,1.0,0.0
105.json,1.0,0.75,0.6666666666666666,0.8333333333333334,0.8333333333333334
11.json,0.8333333333333334,0.8333333333333334,0.8,1.0,1.0
113.json,1.0,0.8571428571428571,0.5,1.0,0.9444444444444443
117.json,1.0,1.0,0.4,0.9,0.9
12.json,0.6666666666666666,0.8,0.5,0.875,0.875
122.json,1.0,1.0,0.8571428571428571,1.0,1.0
124.json,0.8,0.8,0.75,0.875,0.875
134.json,1.0,0.8333333333333334,0.6,1.0,1.0
14.json,0.75,0.75,0.6666666666666666,1.0,1.0
145.json,0.5,0.8,0.5,1.0,0.75
146.json,0.75,1.0,1.0,1.0,1.0
158.json,0.8333333333333334,0.7142857142857143,0.6,1.0,1.0
160.json,1.0,0.8333333333333334,0.8,0.9,0.9
163.json,1.0,0.5714285714285714,0.75,0.875,0.375
168.json,0.2222222222222222,0.5,0.5,1.0,1.0
172.json,0.8,0.8,1.0,1.0,1.0
18.json,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.861111111111111
180.json,1.0,1.0,1.0,1.0,1.0
188.json,0.7142857142857143,1.0,0.8,1.0,0.4
190.json,1.0,0.6666666666666666,1.0,1.0,1.0
192.json,0.8333333333333334,0.8333333333333334,0.8,1.0,0.6
2.json,0.75,1.0,0.6666666666666666,0.8333333333333334,0.7222222222222222
200.json,0.5,0.5,0.5,0.75,0.75
207.json,0.4,1.0,1.0,1.0,1.0
214.json,0.6666666666666666,1.0,0.5,1.0,1.0
218.json,0.8,1.0,0.5,1.0,0.0
223.json,0.8333333333333334,1.0,0.8,0.9,0.9
228.json,0.5,1.0,0.6666666666666666,1.0,0.8888888888888888
230.json,0.6666666666666666,1.0,1.0,1.0,1.0
234.json,1.0,0.6666666666666666,0.75,0.75,0.75
241.json,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
244.json,1.0,1.0,0.75,1.0,1.0
255.json,0.7142857142857143,0.8333333333333334,0.6,1.0,1.0
257.json,0.75,0.75,0.6666666666666666,0.9166666666666666,0.9166666666666666
26.json,0.8333333333333334,0.625,0.8,1.0,0.9333333333333332
268.json,0.8,1.0,0.75,0.75,0.9166666666666666
275.json,1.0,1.0,0.5,0.75,0.75
280.json,0.25,0.2,1.0,1.0,1.0
282.json,0.6,1.0,1.0,0.8333333333333334,0.8333333333333334
288.json,0.0,0.0,0.0,0.0,0.0
290.json,0.8,1.0,0.75,1.0,1.0
295.json,0.75,1.0,1.0,0.8333333333333334,0.8333333333333334
301.json,1.0,0.8,0.75,1.0,1.0
302.json,0.8333333333333334,1.0,0.6,0.8,0.8
318.json,0.75,0.75,0.3333333333333333,1.0,1.0
33.json,0.8,0.8,0.5,1.0,1.0
