file,precision,recall,type_acc,value_precision,value_recall
0.json,0.75,1.0,1.0,1.0,1.0
1.json,1.0,0.5714285714285714,1.0,0.5,0.29166666666666663
10.json,0.25,0.5,0.0,1.0,1.0
105.json,1.0,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666
11.json,0.8333333333333334,0.8333333333333334,0.8,0.4,0.4
113.json,1.0,0.8571428571428571,0.5,0.9166666666666666,0.861111111111111
117.json,1.0,0.8,0.25,1.0,1.0
12.json,0.5,0.4,0.0,1.0,1.0
122.json,1.0,1.0,0.3333333333333333,1.0,1.0
124.json,0.75,0.6,0.3333333333333333,1.0,1.0
134.json,1.0,0.8333333333333334,0.6,1.0,1.0
14.json,1.0,0.5,1.0,1.0,0.5
145.json,0.75,0.6,1.0,1.0,1.0
146.json,1.0,1.0,1.0,1.0,1.0
158.json,1.0,0.7142857142857143,1.0,1.0,1.0
160.json,1.0,0.6666666666666666,0.75,1.0,1.0
163.json,1.0,0.5714285714285714,0.75,0.875,0.875
168.json,0.14285714285714285,0.25,1.0,1.0,1.0
172.json,1.0,0.6,1.0,1.0,1.0
18.json,0.75,0.42857142857142855,0.0,0.16666666666666666,0.16666666666666666
180.json,1.0,0.6666666666666666,1.0,1.0,1.0
188.json,0.8,0.8,0.5,1.0,1.0
190.json,1.0,0.6666666666666666,1.0,1.0,1.0
192.json,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0
2.json,0.6666666666666666,0.6666666666666666,0.5,1.0,0.8333333333333333
200.json,0.4,0.5,1.0,0.5,0.5
207.json,0.4,1.0,1.0,1.0,1.0
214.json,1.0,0.75,0.3333333333333333,1.0,1.0
218.json,0.6666666666666666,0.5,0.5,1.0,0.8333333333333333
223.json,0.8,0.8,0.75,0.75,0.75
228.json,1.0,1.0,0.75,1.0,0.8333333333333333
230.json,0.4,0.5,1.0,1.0,1.0
234.json,1.0,0.6666666666666666,0.75,0.75,0.75
241.json,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
244.json,1.0,0.75,0.6666666666666666,1.0,1.0
255.json,0.625,0.8333333333333334,0.6,1.0,1.0
257.json,0.6666666666666666,0.75,0.6666666666666666,0.8333333333333334,0.8333333333333334
26.json,1.0,0.625,0.8,1.0,0.9333333333333332
268.json,0.6,0.75,1.0,1.0,0.8888888888888888
275.json,1.0,1.0,0.6,1.0,0.9333333333333333
280.json,0.5,0.4,0.5,0.75,0.75
282.json,0.4,0.6666666666666666,1.0,1.0,1.0
288.json,1.0,0.5,0.5,0.0,0.0
290.json,1.0,1.0,0.5,1.0,1.0
295.json,1.0,1.0,1.0,1.0,1.0
301.json,1.0,0.8,1.0,0.875,0.875
302.json,0.8,0.8,1.0,1.0,1.0
318.json,0.6,0.75,0.6666666666666666,1.0,1.0
33.json,0.3333333333333333,0.2,1.0,1.0,1.0
330.json,0.6666666666666666,0.5,1.0,1.0,1.0
340.json,0.4444444444444444,1.0,0.75,1.0,1.0
356.json,1.0,1.0,1.0,0.8333333333333334,0.8888888888888888
358.json,0.8,1.0,0.75,0.875,0.875
373.json,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666
380.json,1.0,1.0,1.0,1.0,1.0
388.json,1.0,0.7142857142857143,0.8,1.0,1.0
392.json,0.75,1.0,1.0,1.0,1.0
394.json,0.25,0.5,1.0,1.0,1.0
396.json,0.8333333333333334,1.0,0.2,0.7,0.7
4.json,1.0,0.8888888888888888,1.0,1.0,1.0
402.json,0.8,1.0,0.75,1.0,1.0
41.json,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
421.json,0.0,0.0,0.0,0.0,0.0
422.json,0.5714285714285714,1.0,1.0,0.625,0.625
424.json,0.5,0.6,0.3333333333333333,1.0,1.0
425.json,0.2,0.2,1.0,1.0,1.0
427.json,1.0,1.0,1.0,1.0,1.0
433.json,0.5,0.4,1.0,1.0,1.0
437.json,1.0,0.6666666666666666,1.0,1.0,0.8333333333333333
438.json,0.7142857142857143,0.8333333333333334,0.8,1.0,1.0
442.json,0.75,0.75,0.6666666666666666,1.0,1.0
447.json,1.0,0.7142857142857143,1.0,0.8,0.7333333333333333
451.json,1.0,0.75,0.6666666666666666,0.8333333333333334,0.8333333333333334
455.json,0.8333333333333334,0.7142857142857143,0.8,0.8,0.8
466.json,0.0,0.0,0.0,0.0,0.0
471.json,0.8,0.5714285714285714,0.75,1.0,0.8333333333333333
475.json,1.0,1.0,0.25,1.0,1.0
478.json,0.75,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
48.json,1.0,0.6,0.6666666666666666,1.0,1.0
490.json,1.0,1.0,0.75,0.75,0.75
495.json,0.8,0.8,1.0,1.0,0.9375
5.json,0.5,0.25,1.0,1.0,1.0
507.json,0.75,0.75,1.0,1.0,1.0
515.json,0.5,0.6666666666666666,1.0,1.0,1.0
524.json,1.0,0.8,1.0,1.0,1.0
530.json,0.6666666666666666,1.0,0.5,0.0,0.0
535.json,1.0,0.6666666666666666,0.75,1.0,1.0
54.json,1.0,0.8,0.5,0.75,0.75
71.json,1.0,1.0,1.0,1.0,1.0
76.json,1.0,1.0,1.0,0.8333333333333334,0.75
77.json,0.6,0.42857142857142855,1.0,0.8333333333333334,0.5555555555555555
78.json,0.9,0.9,0.8888888888888888,1.0,0.9629629629629629
8.json,0.42857142857142855,0.42857142857142855,1.0,1.0,0.7777777777777777
80.json,1.0,1.0,1.0,0.75,0.75
81.json,0.75,0.42857142857142855,0.3333333333333333,0.1111111111111111,0.1111111111111111
82.json,0.75,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
84.json,1.0,0.75,1.0,1.0,1.0
85.json,1.0,0.8333333333333334,0.8,1.0,1.0
87.json,1.0,1.0,1.0,1.0,1.0
90.json,1.0,0.8,0.75,0.875,0.875
93.json,0.8,0.6666666666666666,0.75,0.5,0.5
97.json,1.0,0.6666666666666666,1.0,0.75,0.75
99.json,1.0,1.0,0.75,0.75,0.6666666666666666
