file,precision,recall,type_acc,value_precision,value_recall
0.json,0.375,1.0,0.3333333333333333,1.0,0.3333333333333333
1.json,1.0,0.5714285714285714,0.5,0.5,0.29166666666666663
10.json,0.25,0.5,0.0,0.0,0.0
105.json,1.0,0.25,1.0,1.0,1.0
11.json,1.0,0.6666666666666666,1.0,0.75,0.75
113.json,1.0,0.42857142857142855,1.0,1.0,0.6666666666666666
117.json,1.0,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666
12.json,0.75,0.6,0.0,0.8333333333333334,0.8333333333333334
122.json,1.0,1.0,0.3333333333333333,1.0,1.0
124.json,0.6,0.6,0.6666666666666666,1.0,1.0
134.json,1.0,0.8333333333333334,0.6,1.0,1.0
14.json,0.5,0.25,1.0,0.5,0.5
145.json,1.0,0.2,1.0,0.5,0.5
146.json,1.0,0.3333333333333333,0.0,0.5,0.5
158.json,0.8333333333333334,0.7142857142857143,0.8,0.6,0.6
160.json,1.0,0.6666666666666666,0.75,0.75,0.75
163.json,1.0,0.14285714285714285,0.0,1.0,0.8
168.json,0.2857142857142857,0.5,1.0,0.5,1.0
172.json,1.0,0.6,1.0,1.0,1.0
18.json,0.8,0.5714285714285714,0.5,1.0,0.9166666666666666
180.json,1.0,1.0,1.0,1.0,1.0
188.json,0.5714285714285714,0.8,0.75,0.875,0.5833333333333333
190.json,1.0,0.6666666666666666,1.0,1.0,0.9166666666666666
192.json,1.0,0.8333333333333334,1.0,1.0,1.0
2.json,0.6666666666666666,0.6666666666666666,0.5,1.0,0.8333333333333333
200.json,0.2857142857142857,0.5,0.0,0.75,0.75
207.json,0.6666666666666666,1.0,0.75,0.75,0.75
214.json,1.0,0.25,1.0,1.0,1.0
218.json,1.0,0.25,1.0,1.0,1.0
223.json,1.0,0.2,1.0,1.0,1.0
228.json,1.0,0.3333333333333333,1.0,1.0,1.0
230.json,0.5,0.25,0.0,0.0,0.0
234.json,1.0,0.6666666666666666,0.5,0.75,0.75
241.json,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
244.json,0.75,0.75,0.0,1.0,1.0
255.json,0.75,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
257.json,0.75,0.75,0.5,0.5833333333333334,0.5833333333333334
26.json,0.75,0.75,0.5,0.8333333333333334,1.0
268.json,0.5,0.5,1.0,1.0,0.8333333333333333
275.json,1.0,0.2,1.0,1.0,1.0
280.json,0.5,0.4,0.0,1.0,1.0
282.json,0.5,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
288.json,1.0,1.0,0.5,0.5,0.5
290.json,1.0,0.25,0.0,1.0,1.0
295.json,1.0,0.3333333333333333,0.0,1.0,1.0
301.json,1.0,0.2,1.0,1.0,1.0
302.json,0.8,0.8,1.0,1.0,1.0
318.json,0.5,0.75,0.0,0.8333333333333334,0.8333333333333334
33.json,0.6666666666666666,0.4,0.0,1.0,1.0
330.json,1.0,0.25,1.0,1.0,1.0
340.json,0.375,0.75,0.3333333333333333,1.0,1.0
356.json,1.0,0.3333333333333333,0.0,0.0,0.0
358.json,0.8,1.0,0.5,0.875,0.875
373.json,0.6,0.75,0.6666666666666666,1.0,1.0
380.json,1.0,0.25,1.0,0.0,0.0
388.json,1.0,0.5714285714285714,0.25,0.875,0.875
392.json,0.6,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
394.json,0.125,0.5,0.0,0.5,0.5
396.json,0.5,0.4,0.0,0.5,0.5
4.json,0.875,0.7777777777777778,0.7142857142857143,1.0,1.0
402.json,1.0,0.25,1.0,0.5,0.5
41.json,0.6,0.5,0.6666666666666666,1.0,1.0
421.json,0.2,0.25,1.0,0.0,0.0
422.json,0.4,0.5,0.0,1.0,1.0
424.json,0.6,0.6,0.6666666666666666,1.0,1.0
425.json,0.2,0.2,1.0,1.0,1.0
427.json,0.0,0.0,0.0,0.0,0.0
433.json,0.5,0.8,0.5,0.75,0.75
437.json,0.0,0.0,0.0,0.0,0.0
438.json,0.7142857142857143,0.8333333333333334,1.0,0.8,0.8
442.json,0.75,0.75,0.6666666666666666,1.0,1.0
