idx,edit_distance
0,0
1,7
2,2
3,12
4,2
5,7
6,0
7,8
8,10
9,5
10,6
11,10
12,7
13,9
14,5
15,4
16,0
17,2
18,8
19,11
20,0
21,1
22,1
23,2
24,2
25,0
26,5
27,3
28,0
29,2
30,1
31,8
32,2
33,0
34,5
35,5
36,0
37,0
38,8
39,5
40,7
41,0
42,6
43,0
44,2
45,4
46,9
47,2
48,2
49,0
50,0
51,3
52,2
53,1
54,8
55,1
56,2
57,5
58,6
59,4
60,4
61,5
62,5
63,0
64,0
65,0
66,2
67,7
68,0
69,1
70,3
71,0
72,0
73,5
74,0
75,9
76,2
77,0
78,4
79,0
80,0
81,4
82,4
83,4
84,0
85,4
86,0
87,3
88,0
89,8
90,6
91,5
92,4
93,9
94,0
95,2
96,0
97,4
98,0
99,0
100,4
101,0
102,7
,3.339805825
