index,name_recall,name_precision,type_accuracy,value_recall,value_precision,name_info,type_info,value_info
15,0.0,0.0,0.0,0.0,0.0,[],{},{}
6,0.5,0.2,1.0,0.0,0.0,"[('桩顶荷载', '桩顶增加的荷载')]",{'桩顶荷载': 1},"{'桩顶荷载': {'content': [], 'recall': 0.0, 'precision': 0}}"
2,0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,"[('初始局部破坏', '局部破坏'), ('结构', '结构倒塌')]","{'初始局部破坏': 1, '结构': 0}","{'结构': {'content': [('结构:部分倒塌', '结构:部分倒塌'), ('结构:整体倒塌', '结构:整体倒塌')], 'recall': 0.6666666666666666, 'precision': 1.0}}"
9,0.75,0.75,0.6666666666666666,0.5,1.0,"[('框架结构的砌体填充墙布置', '砌体填充墙的布置'), ('建筑的不利布置', '建筑的不利布置'), ('填充墙', '空心砖填充墙的改进')]","{'框架结构的砌体填充墙布置': 0, '建筑的不利布置': 1, '填充墙': 1}","{'填充墙': {'content': [('填充墙:石膏板空心墙', '填充墙:改为石膏板空心墙'), ('填充墙:其他修改建议', '填充墙:保持原样')], 'recall': 0.5, 'precision': 1.0}}"
4,0.5,0.6666666666666666,1.0,1.0,1.0,"[('齿连接', '连接方式选择'), ('木结构工程', '工程教训与试验结论')]","{'齿连接': 1, '木结构工程': 1}","{'木结构工程': {'content': [('木结构工程:安全', '木结构工程:事故预防'), ('木结构工程:超载破坏', '木结构工程:规定制定')], 'recall': 1.0, 'precision': 1.0}}"
8,0.6,0.5,0.0,1.0,1.0,"[('建筑主体结构', '建筑主体结构'), ('非结构构件', '非结构构件'), ('建筑的正常使用功能', '建筑功能要求')]","{'建筑主体结构': 0, '非结构构件': 0, '建筑的正常使用功能': 0}","{'建筑的正常使用功能': {'content': [('建筑的正常使用功能:保证', '建筑的正常使用功能:保证正常使用功能'), ('建筑的正常使用功能:不保证', '建筑的正常使用功能:可能无法保证正常使用功能')], 'recall': 1.0, 'precision': 1.0}}"
0,1.0,0.75,1.0,1.0,1.0,"[('构件的长细比', '长细比'), ('矩形截面边长', '矩形截面边长'), ('纤维材料对混凝土的约束作用', '纤维材料对混凝土的约束作用')]","{'构件的长细比': 1, '矩形截面边长': 1, '纤维材料对混凝土的约束作用': 1}","{'纤维材料对混凝土的约束作用': {'content': [('纤维材料对混凝土的约束作用:明显降低', '纤维材料对混凝土的约束作用:明显降低'), ('纤维材料对混凝土的约束作用:保持正常', '纤维材料对混凝土的约束作用:保持正常')], 'recall': 1.0, 'precision': 1.0}}"
13,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,"[('核芯区受剪面积', '核芯区受剪面积'), ('抗震墙中线与柱中线之间偏心距', '抗震墙中线与柱中线之间的偏心距'), ('梁中线与柱中线之间偏心距', '梁中线与柱中线之间的偏心距'), ('地震作用', '采取的措施'), ('避免扭转措施', '柱的扭转效应')]","{'核芯区受剪面积': 0, '抗震墙中线与柱中线之间偏心距': 0, '梁中线与柱中线之间偏心距': 0, '地震作用': 0, '避免扭转措施': 0}","{'避免扭转措施': {'content': [('避免扭转措施:采用水平加腋梁', '避免扭转措施:有利'), ('避免扭转措施:加强柱的箍筋', '避免扭转措施:有利'), ('避免扭转措施:不采取措施', '避免扭转措施:不利')], 'recall': 1.0, 'precision': 1}}"
20,1.0,0.6666666666666666,1.0,1.0,1.0,"[('检查基准', '检查基准'), ('检查结果', '检查结果')]","{'检查基准': 1, '检查结果': 1}","{'检查结果': {'content': [('检查结果:误差', '检查结果:误差'), ('检查结果:无误差', '检查结果:准确')], 'recall': 1.0, 'precision': 1.0}}"
16,1.0,1.0,1.0,1.0,1.0,"[('抗浮技术措施', '抗浮技术措施'), ('空心楼板内模上移', '内模上移'), ('施工质量', '楼板施工质量')]","{'抗浮技术措施': 1, '空心楼板内模上移': 1, '施工质量': 1}","{'施工质量': {'content': [('施工质量:受影响', '施工质量:受影响'), ('施工质量:不受影响', '施工质量:不受影响')], 'recall': 1.0, 'precision': 1.0}}"
12,1.0,1.0,0.4,1.0,1.0,"[('火灾或高温', '金属支撑件在遇火或高温下的状态'), ('露明金属支撑件', '金属支撑件的防火安全措施'), ('外墙板掉落', '外墙板在火灾中的掉落情况'), ('火灾蔓延', '火灾蔓延情况'), ('露明金属支撑件的构造措施', '外墙板内侧与梁、柱及楼板间的调整间隙的防火安全措施')]","{'火灾或高温': 1, '露明金属支撑件': 0, '外墙板掉落': 0, '火灾蔓延': 0, '露明金属支撑件的构造措施': 1}","{'露明金属支撑件的构造措施': {'content': [('露明金属支撑件的构造措施:设置', '露明金属支撑件的构造措施:设置构造措施'), ('露明金属支撑件的构造措施:不设置', '露明金属支撑件的构造措施:不设置构造措施')], 'recall': 1.0, 'precision': 1.0}}"
14,0.6,0.75,0.6666666666666666,1.0,1.0,"[('零应力区面积', '零应力区面积比例'), ('外荷载相对于基础形心的偏心距', '外荷载偏心距'), ('受压边缘的压力', '受压边缘压力')]","{'零应力区面积': 0, '外荷载相对于基础形心的偏心距': 1, '受压边缘的压力': 1}","{'受压边缘的压力': {'content': [('受压边缘的压力:满足承载力要求', '受压边缘的压力:满足承载力要求'), ('受压边缘的压力:不满足承载力要求', '受压边缘的压力:不满足承载力要求')], 'recall': 1.0, 'precision': 1.0}}"
1,1.0,0.875,0.7142857142857143,1.0,1.0,"[('土体膨胀', '土体膨胀'), ('含水量', '含水量'), ('密度', '密度'), ('桩侧阻', '桩侧阻'), ('端阻', '端阻'), ('土体收缩', '土体收缩'), ('土体裂缝', '裂缝')]","{'土体膨胀': 1, '含水量': 1, '密度': 1, '桩侧阻': 0, '端阻': 0, '土体收缩': 1, '土体裂缝': 1}","{'土体裂缝': {'content': [('土体裂缝:产生', '土体裂缝:产生'), ('土体裂缝:不产生', '土体裂缝:不产生')], 'recall': 1.0, 'precision': 1.0}}"
11,0.625,0.8333333333333334,0.8,1.0,1.0,"[('墙体类型', '墙体类型'), ('厂房结构', '厂房结构'), ('柱列纵向侧移刚度', '柱列的纵向侧移刚度'), ('柱顶节点抗震性能', '柱顶节点的抗震性能'), ('门窗洞口处柱子的破坏', '门窗洞口处柱子的破坏')]","{'墙体类型': 1, '厂房结构': 1, '柱列纵向侧移刚度': 1, '柱顶节点抗震性能': 0, '门窗洞口处柱子的破坏': 1}","{'门窗洞口处柱子的破坏': {'content': [('门窗洞口处柱子的破坏:发生', '门窗洞口处柱子的破坏:容易发生'), ('门窗洞口处柱子的破坏:未发生', '门窗洞口处柱子的破坏:不易发生')], 'recall': 1.0, 'precision': 1.0}}"
7,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,"[('灌浆料', '灌浆料性能'), ('膨胀剂', '膨胀剂选择'), ('细石混凝土掺加比例', '细石混凝土掺加比例'), ('粗骨料掺加', '粗骨料掺加情况')]","{'灌浆料': 0, '膨胀剂': 1, '细石混凝土掺加比例': 1, '粗骨料掺加': 1}","{'粗骨料掺加': {'content': [('粗骨料掺加:掺加16mm-20mm', '粗骨料掺加:掺加粒径为16mm～20mm的粗骨料'), ('粗骨料掺加:其他', '粗骨料掺加:不掺加粗骨料')], 'recall': 1.0, 'precision': 1.0}}"
5,1.0,0.6363636363636364,1.0,1.0,1.0,"[('新建建筑物的荷载', '新建建筑物的荷载'), ('既有建筑物紧邻新建部分的地基中的应力叠加', '既有建筑物紧邻新建部分的地基中的应力叠加'), ('既有建筑物地基土的不均匀附加压缩', '既有建筑物地基土的不均匀附加压缩'), ('建筑物的相对变形或挠曲', '建筑物的相对变形或挠曲'), ('严重裂损', '严重裂损'), ('接建、邻建部位专门布置勘探点', '专门布置勘探点'), ('原位测试和室内试验', '原位测试和室内试验')]","{'新建建筑物的荷载': 1, '既有建筑物紧邻新建部分的地基中的应力叠加': 1, '既有建筑物地基土的不均匀附加压缩': 1, '建筑物的相对变形或挠曲': 1, '严重裂损': 1, '接建、邻建部位专门布置勘探点': 1, '原位测试和室内试验': 1}","{'原位测试和室内试验': {'content': [('原位测试和室内试验:是', '原位测试和室内试验:进行'), ('原位测试和室内试验:否', '原位测试和室内试验:不进行')], 'recall': 1.0, 'precision': 1.0}}"
10,0.7142857142857143,0.7142857142857143,0.25,1.0,1.0,"[('雨水泵房状况', '雨水泵房功能'), ('城市排涝泵站状况', '城市排涝泵站功能'), ('雨水泵房加强措施', '泵房加强'), ('震害', '地震破坏'), ('震害', '震害加剧')]","{'雨水泵房状况': 0, '城市排涝泵站状况': 0, '雨水泵房加强措施': 1, '震害': 0}","{'震害': {'content': [('震害:小', '震害:不加剧'), ('震害:大', '震害:加剧')], 'recall': 1.0, 'precision': 1.0}}"
17,1.0,0.6,0.3333333333333333,0.5,0.5,"[('地面变形', '地面变形'), ('建筑物破坏', '建筑物破坏'), ('岩土工程勘察', '岩土工程勘察')]","{'地面变形': 0, '建筑物破坏': 0, '岩土工程勘察': 1}","{'岩土工程勘察': {'content': [('岩土工程勘察:提出合理措施', '岩土工程勘察:工程分析')], 'recall': 0.5, 'precision': 0.5}}"
28,1.0,1.0,0.0,0.0,0.0,"['环境类型', '混凝土强度等级', '混凝土材料劣化']",{},{}
23,1.0,0.8,0.75,1.0,1.0,"[('风速', '风速'), ('防护装置设置', '设置防护装置'), ('二氧化碳气体对焊接电弧的保护', '焊接电弧的保护作用'), ('焊缝质量', '焊缝缺陷')]","{'风速': 1, '防护装置设置': 1, '二氧化碳气体对焊接电弧的保护': 0, '焊缝质量': 1}","{'焊缝质量': {'content': [('焊缝质量:无缺陷', '焊缝质量:未产生'), ('焊缝质量:有缺陷', '焊缝质量:产生')], 'recall': 1.0, 'precision': 1.0}}"
25,1.0,1.0,1.0,1.0,1.0,"[('焊缝温度', '焊缝温度'), ('锤击', '锤击'), ('焊缝出现裂缝', '焊缝出现裂缝')]","{'焊缝温度': 1, '锤击': 1, '焊缝出现裂缝': 1}","{'焊缝出现裂缝': {'content': [('焊缝出现裂缝:出现裂缝', '焊缝出现裂缝:出现裂缝'), ('焊缝出现裂缝:不出现裂缝', '焊缝出现裂缝:不出现裂缝')], 'recall': 1.0, 'precision': 1.0}}"
18,0.5714285714285714,0.6666666666666666,1.0,1.0,1.0,"[('支护结构施工', '支护结构施工'), ('降水', '降水'), ('基坑开挖', '基坑开挖'), ('防范措施', '防范措施')]","{'支护结构施工': 1, '降水': 1, '基坑开挖': 1, '防范措施': 1}","{'防范措施': {'content': [('防范措施:土体加固', '防范措施:土体加固'), ('防范措施:结构托换', '防范措施:结构托换'), ('防范措施:架空管线', '防范措施:架空管线')], 'recall': 1.0, 'precision': 1.0}}"
21,0.7142857142857143,0.5555555555555556,0.0,1.0,1.0,"[('土工合成材料', '土工合成材料'), ('荷载转移', '荷载转移'), ('地基整体破坏', '地基的整体破坏'), ('上部建筑沉降', '上部建筑沉降'), ('建筑结构破坏', '建筑结构破坏')]","{'土工合成材料': 0, '荷载转移': 0, '地基整体破坏': 0, '上部建筑沉降': 0, '建筑结构破坏': 0}","{'建筑结构破坏': {'content': [('建筑结构破坏:严重', '建筑结构破坏:造成严重破坏'), ('建筑结构破坏:轻微或无', '建筑结构破坏:未造成严重破坏')], 'recall': 1.0, 'precision': 1.0}}"
22,0.6666666666666666,0.8,0.5,1.0,1.0,"[('建筑物抗震设防烈度', '建筑物抗震设防烈度'), ('建筑物体型和抗侧力系统复杂性', '建筑物体型和抗侧力系统复杂性'), ('结构薄弱部位的应力集中和弹塑性变形集中', '结构薄弱部位的应力集中和弹塑性变形集中'), ('建筑物倒塌风险', '建筑物倒塌风险')]","{'建筑物抗震设防烈度': 1, '建筑物体型和抗侧力系统复杂性': 0, '结构薄弱部位的应力集中和弹塑性变形集中': 1, '建筑物倒塌风险': 0}","{'建筑物倒塌风险': {'content': [('建筑物倒塌风险:有倒塌危险', '建筑物倒塌风险:高'), ('建筑物倒塌风险:无倒塌危险', '建筑物倒塌风险:低')], 'recall': 1.0, 'precision': 1.0}}"
